      DepSM      T090C      Sal00  Sigma-t00       FlSP    WetStar SeaTurbMtr       SvCM   Sbeox0PS Sbeox0Mg/L       Flag
      0.074    21.4188    24.6814    16.5507 3.4188e-01     0.2273      0.348    1513.95  100.22018    7.67326 0.0000e+00
      0.073    21.4181    24.6821    16.5514 2.5641e-01     0.2310      0.168    1513.95  100.21482    7.67292 0.0000e+00
      0.086    21.4165    24.6823    16.5520 2.1978e-01     0.2346      0.205    1513.95  100.26775    7.67719 0.0000e+00
      0.061    21.4140    24.6830    16.5532 2.4420e-01     0.2444      0.297    1513.94  100.21134    7.67320 0.0000e+00
      0.086    21.4107    24.6840    16.5548 2.8083e-01     0.2505      0.238    1513.93  100.20999    7.67352 0.0000e+00
      0.084    21.4091    24.6841    16.5553 6.2271e-01     0.2481      0.264    1513.93  100.20868    7.67363 0.0000e+00
      0.074    21.4077    24.6845    16.5560 5.9829e-01     0.2444      0.341    1513.93  100.20744    7.67371 0.0000e+00
      0.074    21.4070    24.6841    16.5559 5.1282e-01     0.2359      0.352    1513.92  100.21056    7.67407 0.0000e+00
      0.073    21.4062    24.6845    16.5563 4.8840e-01     0.2310      0.070    1513.92  100.20997    7.67412 0.0000e+00
      0.086    21.4063    24.6843    16.5562 4.6398e-01     0.2285      0.059    1513.92  100.21381    7.67441 0.0000e+00
      0.074    21.4070    24.6838    16.5557 4.3956e-01     0.2322      0.176    1513.92  100.21774    7.67463 0.0000e+00
      0.084    21.4081    24.6830    16.5548 4.3956e-01     0.2346      0.147    1513.93  100.16009    7.67010 0.0000e+00
      0.074    21.4083    24.6829    16.5546 1.8315e-01     0.2346      0.183    1513.93  100.21900    7.67460 0.0000e+00
      0.086    21.4081    24.6830    16.5547 4.8840e-02     0.2346      0.319    1513.93  100.16586    7.67054 0.0000e+00
      0.074    21.4080    24.6829    16.5547 2.0757e-01     0.2334      0.440    1513.92  100.22552    7.67513 0.0000e+00
      0.084    21.4079    24.6830    16.5548 0.0000e+00     0.2298      0.498    1513.92  100.23137    7.67559 0.0000e+00
      0.074    21.4083    24.6827    16.5545 0.0000e+00     0.2322      0.516    1513.93  100.17915    7.67155 0.0000e+00
      0.099    21.4076    24.6831    16.5549 0.0000e+00     0.2420      0.520    1513.92  100.18209    7.67186 0.0000e+00
      0.084    21.4086    24.6825    16.5542 0.0000e+00     0.2517      0.520    1513.93  100.18122    7.67167 0.0000e+00
      0.086    21.4108    24.6813    16.5528 0.0000e+00     0.2493      0.520    1513.93  100.23923    7.67585 0.0000e+00
